00:0956  02 40  ANDI.W  #$3FFF,D0                A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=FFFFC3B8 D1=0000000A D2=0000000A D3=0000A0DA D4=FFFFC3B8 D5=000000B0 D6=00000008 D7=00000001 xNzvc
00:095A  00 40  ORI.W   #$4000,D0                A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=FFFF03B8 D1=0000000A D2=0000000A D3=0000A0DA D4=FFFFC3B8 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:095E  48 40  SWAP.w  D0                       A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=FFFF43B8 D1=0000000A D2=0000000A D3=0000A0DA D4=FFFFC3B8 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:0960  E5 9C  ROL.L   #2,D4                    A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=43B8FFFF D1=0000000A D2=0000000A D3=0000A0DA D4=FFFFC3B8 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:0962  48 44  SWAP.w  D4                       A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=43B8FFFF D1=0000000A D2=0000000A D3=0000A0DA D4=FFFF0EE3 D5=000000B0 D6=00000008 D7=00000001 xNzvC
00:0964  02 44  ANDI.W  #$0003,D4                A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=43B8FFFF D1=0000000A D2=0000000A D3=0000A0DA D4=0EE3FFFF D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:0968  30 04  MOVE.w  D4,D0                    A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=43B8FFFF D1=0000000A D2=0000000A D3=0000A0DA D4=0EE30003 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:096A  53 41  SUBQ.W  #1,D1                    A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=43B80003 D1=0000000A D2=0000000A D3=0000A0DA D4=0EE30003 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:096C  53 42  SUBQ.W  #1,D2                    A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=43B80003 D1=00000009 D2=0000000A D3=0000A0DA D4=0EE30003 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:096E  61 00  BSR     #$FFFFFCC0 [00:0630]     A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB4 D0=43B80003 D1=00000009 D2=00000009 D3=0000A0DA D4=0EE30003 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:0630  45 F9  LEA     ($00C00004),A2           A0=00063A90 A1=000411DC A2=FFFFC3B8 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB0 D0=43B80003 D1=00000009 D2=00000009 D3=0000A0DA D4=0EE30003 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:0636  47 F9  LEA     ($00C00000),A3           A0=00063A90 A1=000411DC A2=00C00004 A3=0000877E A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB0 D0=43B80003 D1=00000009 D2=00000009 D3=0000A0DA D4=0EE30003 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:063C  2E 3C  MOVE.l  #$00800000,D7            A0=00063A90 A1=000411DC A2=00C00004 A3=00C00000 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB0 D0=43B80003 D1=00000009 D2=00000009 D3=0000A0DA D4=0EE30003 D5=000000B0 D6=00000008 D7=00000001 xnzvc
00:0642  24 80  MOVE.l  D0,(A2)                  A0=00063A90 A1=000411DC A2=00C00004 A3=00C00000 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFB0 D0=43B80003 D1=00000009 D2=00000009 D3=0000A0DA D4=0EE30003 D5=000000B0 D6=00000008 D7=00800000 xnzvc
